子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
金正恩乘专列离京返程,9月5日 07:53,1,袁豪云,09-05 11:27,金正恩专列离开北京，结束此次对华访问。,广西,112
金正恩乘专列离京返程,9月5日 07:53,2,百度网友68589419ba,09-05 11:27,金正恩返程顺利，中朝友好关系进一步巩固🌹,河北,331
金正恩乘专列离京返程,9月5日 07:53,3,百度网友460eb1e8,09-05 11:26,此行为两国战略合作注入新的动力,天津,213
金正恩乘专列离京返程,9月5日 07:53,4,咽百硕果,09-05 11:26,朝中社报道，金正恩平安返程，中朝交流继续深化。,河南,239
金正恩乘专列离京返程,9月5日 07:53,5,志志点心,09-05 11:26,北京夜色中，金正恩专列缓缓驶离，访问圆满收官。,广西,167
抗战胜利80周年阅兵受阅部队开始回撤,9月4日 18:39,1,惜坨向前冲,09-04 19:26,惜坨向前冲09-04 19:26湖北举报回复27,湖北,27
抗战胜利80周年阅兵受阅部队开始回撤,9月4日 18:39,2,胤胤之语,09-04 19:54,威武之师、必胜之师、正义之师、和平之师！,广东,262
抗战胜利80周年阅兵受阅部队开始回撤,9月4日 18:39,3,189******44,09-06 09:39,",,,,",四川,1
抗战胜利80周年阅兵受阅部队开始回撤,9月4日 18:39,4,犬神古内9i,09-05 09:54,祝愿祖国繁荣昌盛。,河北,4
抗战胜利80周年阅兵受阅部队开始回撤,9月4日 18:39,5,桓飞炜08c79,09-05 14:55,人民子弟兵辛苦了！中国军人威武之师。,北京,6
抗战胜利80周年阅兵受阅部队开始回撤,9月4日 18:39,6,華夏衞央,09-05 16:03,華夏衞央09-05 16:03安徽举报回复赞,安徽,0
抗战胜利80周年阅兵受阅部队开始回撤,9月4日 18:39,7,鲜美还巍然灬小喵0,09-05 07:24,同志们辛苦了！为人民服务！,四川,117
抗战胜利80周年阅兵受阅部队开始回撤,9月4日 18:39,8,鏉板疂馃挐,09-04 20:59,鏉板疂馃挐09-04 20:59甘肃举报回复8,甘肃,8
抗战胜利80周年阅兵受阅部队开始回撤,9月4日 18:39,9,市新之FW,09-05 17:18,大家辛苦了,北京,1
抗战胜利80周年阅兵受阅部队开始回撤,9月4日 18:39,10,三尺讲台,09-04 23:24,胜利而归！,山东,9
美防长谈九三阅兵：美国不寻求和中国发生冲突,9月4日 14:34,1,面目可憎的老K,09-04 15:17,只要大家都在持续发展，那么战争就是趋势，人类文明一直如此，这是不可逆的，因为地球只有这么大， 资源也只有这么多，双方只能做到尽可能的延缓那一天到来,广西,117
美防长谈九三阅兵：美国不寻求和中国发生冲突,9月4日 14:34,2,1344168196,09-04 15:17,比起别的国家 中国牛的不仅仅是有这些尖端武器 而是一旦战争发生  我们武器生产供给前线的速度将会让世人震惊,广东,172
美防长谈九三阅兵：美国不寻求和中国发生冲突,9月4日 14:34,3,昆山协力物资回收有限公司,09-07 17:58,分析得还不错哦,江苏,0
美防长谈九三阅兵：美国不寻求和中国发生冲突,9月4日 14:34,4,太白山的阿拉伯狼,09-04 15:44,期待隐身战略轰炸机，补齐短板，无敌了,江苏,6
