子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
以色列针对卡塔尔首都哈马斯领导人发动袭击，外交部回应,1小时前,1,xuxuemin123,55分钟前,和平对话,浙江,2
以色列针对卡塔尔首都哈马斯领导人发动袭击，外交部回应,1小时前,2,后安后安,43分钟前,强硬发声,天津,1
以色列针对卡塔尔首都哈马斯领导人发动袭击，外交部回应,1小时前,3,cs77989181,13分钟前,严厉谴责，深感担忧，不满，特别是以色列。,湖北,1
以色列针对卡塔尔首都哈马斯领导人发动袭击，外交部回应,1小时前,4,趋势猎人笔记,46分钟前,诱敌谈判，突袭歼灭。反抗或存生机，妥协必亡。望以永保强势，否则血债还需血来还！,内蒙古,10
以色列针对卡塔尔首都哈马斯领导人发动袭击，外交部回应,1小时前,5,阿星_哥哥,1小时前,深感担忧。,广东,4
以色列针对卡塔尔首都哈马斯领导人发动袭击，外交部回应,1小时前,6,爱起什么名儿,48分钟前,严正交涉,北京,0
以色列针对卡塔尔首都哈马斯领导人发动袭击，外交部回应,1小时前,7,南墙也得塌,8分钟前,煤炭钢铁等军火基础材料又快涨价了，卡塔尔估计会大量采购中国的武器,北京,0
以色列针对卡塔尔首都哈马斯领导人发动袭击，外交部回应,1小时前,8,世界和平612,52分钟前,积极努力,河北,0
以色列针对卡塔尔首都哈马斯领导人发动袭击，外交部回应,1小时前,9,贴吧骂人被拘留,1小时前,严厉谴责,内蒙古,1
以色列针对卡塔尔首都哈马斯领导人发动袭击，外交部回应,1小时前,10,wml196601,18分钟前,哈马斯必须首先释放所有人质，并且承担责任，然后才能展开谈判！否则都用劫持认知来达到自己的目的，那这个世界成了什么？,贵州,0
以色列针对卡塔尔首都哈马斯领导人发动袭击，外交部回应,1小时前,11,百度网友10fb815,56分钟前,强烈呼吁,四川,2
以色列针对卡塔尔首都哈马斯领导人发动袭击，外交部回应,1小时前,12,岚涩枫叶,43分钟前,只有以战止战，以色列只懂武力语言。,浙江,5
以色列针对卡塔尔首都哈马斯领导人发动袭击，外交部回应,1小时前,13,百度网友e75bc83,41分钟前,全世界应当把“以色列”列入恐怖主义。,广东,10
以色列针对卡塔尔首都哈马斯领导人发动袭击，外交部回应,1小时前,14,元梦影视,39分钟前,对待以色列就得以以牙还牙，给他一课花,江苏,1
