子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
特朗普称愿意对中印大幅加征关税，外交部回应,今天 15:36,1,百度网友53d6ce694,3小时前,以后不要叫美国了，就叫丑国。,海南,75
特朗普称愿意对中印大幅加征关税，外交部回应,今天 15:36,2,轩之兵团,2小时前,俄乌战争的油门、刹车、方向盘都握在美国为首的北约集团手上，然后它们怪路边站着的中国怎么不阻止车停下来,广东,59
特朗普称愿意对中印大幅加征关税，外交部回应,今天 15:36,3,雲飘九天,2小时前,你愿意就出手，我们接着！,广东,1
特朗普称愿意对中印大幅加征关税，外交部回应,今天 15:36,4,苹老凌,2小时前,欧盟，米国快加吧，中国不怕,陕西,4
特朗普称愿意对中印大幅加征关税，外交部回应,今天 15:36,5,制作人2号,2小时前,美国把石油卖的和俄罗斯一样便宜，我们也买，自己不愿意降价，还在那叫,上海,10
特朗普称愿意对中印大幅加征关税，外交部回应,今天 15:36,6,百度网友e377807,1小时前,因为美国认为这两填补了俄罗斯被制裁的缺口，所以才加税。,广东,17
特朗普称愿意对中印大幅加征关税，外交部回应,今天 15:36,7,hupub2008,2小时前,转人工,陕西,1
特朗普称愿意对中印大幅加征关税，外交部回应,今天 15:36,8,幸叶孤帆MC,3小时前,一起加呗,湖北,1
特朗普称愿意对中印大幅加征关税，外交部回应,今天 15:36,9,巨峰蜗牛,3小时前,欧盟也买了俄罗斯大量的天然气，中国也对欧盟征收二级关税呗,广东,41
特朗普称愿意对中印大幅加征关税，外交部回应,今天 15:36,10,Eileen2002IT,3小时前,不愿意谈判的难道不是泽连斯基和欧盟吗？ 小以在中东通过战争扩大地盘，控制石油；美国通过售卖本土石油天然气；压制俄罗斯成功的话，美以就可以控制地球的石油和天然气了。真是好算盘！,广东,220
特朗普称愿意对中印大幅加征关税，外交部回应,今天 15:36,11,abc白桦林00,2小时前,那就明着支持俄罗斯呗，看看欧盟的损失会不会更大。,江苏,6
特朗普称愿意对中印大幅加征关税，外交部回应,今天 15:36,12,lincyze,2小时前,"欧盟：大哥你先来
川普：小弟你先上",山东,6
特朗普称愿意对中印大幅加征关税，外交部回应,今天 15:36,13,布日月弥,2小时前,全世界必须围绕美国运转吗？把美元捧成地球结算货币是一大失败，它坐收渔利已经太久了。,广西,10
特朗普称愿意对中印大幅加征关税，外交部回应,今天 15:36,14,汝永春04e,3小时前,光愿意顶啥用咧，我愿意娶川普女儿，能行得通？,上海,82
特朗普称愿意对中印大幅加征关税，外交部回应,今天 15:36,15,观写,1小时前,伊朗那些年被制裁，任何国家不得进口伊朗的石油，除了美国。,浙江,1
特朗普称愿意对中印大幅加征关税，外交部回应,今天 15:36,16,camigo,2小时前,所以前面放了那么多稀土，一切又回到原点，希望我们这段时间所获得的没吃亏。要认清老特的特性呀，改不了的。,浙江,46
特朗普称愿意对中印大幅加征关税，外交部回应,今天 15:36,17,俟艾0fS,1小时前,美国自己也同俄罗斯交易，买石油,湖南,23
特朗普称愿意对中印大幅加征关税，外交部回应,今天 15:36,18,笨鸟晚飞丨,1小时前,所有，中国大力发展新能源，就说的通了。哈哈哈哈哈哈,北京,4
