子事件,子事件时间,评论序号,用户ID,评论时间,评论内容,用户位置,评论点赞量
广东广西等台风“塔巴”影响区域部分河流或发生超警以上洪水,9月8日 13:29,0,,,无评论,,0
台风“塔巴”今天傍晚将移入广西 今明天桂南等地局部或现特大暴雨,9月8日 10:15,1,堂茜8O,09-08 13:48,谢谢辽宁朋友的关心提醒，祝你一路长虹！,广西,11
台风“塔巴”今天傍晚将移入广西 今明天桂南等地局部或现特大暴雨,9月8日 10:15,2,MinZ_EndgameFest,09-08 10:36,广西的朋友们，台风塔巴带来暴雨大风。少出门多留意，安全最重要。,辽宁,39
台风“塔巴”今天傍晚将移入广西 今明天桂南等地局部或现特大暴雨,9月8日 10:15,3,悉心且勤谨的好汉f,09-08 12:37,别来梧州,广西,0
台风“塔巴”今天傍晚将移入广西 今明天桂南等地局部或现特大暴雨,9月8日 10:15,4,司徒濮Rl,09-08 13:17,下点雨来阳朔吧，好闷热,广西,0
台风“塔巴”今天傍晚将移入广西 今明天桂南等地局部或现特大暴雨,9月8日 10:15,5,佼正德rg,09-08 11:33,谢谢辽宁兄弟的关心，祝您生活愉快,广西,24
台风“塔巴”今天傍晚将移入广西 今明天桂南等地局部或现特大暴雨,9月8日 10:15,6,小小vlK,09-08 11:23,嗯。,广西,3
台风“塔巴”今天傍晚将移入广西 今明天桂南等地局部或现特大暴雨,9月8日 10:15,7,七多娜50,09-08 20:23,暴雨无情，愿平安。,广西,0
台风“塔巴”今天傍晚将移入广西 今明天桂南等地局部或现特大暴雨,9月8日 10:15,8,七多娜50,09-08 20:25,暴雨来袭，注意安全。,广西,0
台风“塔巴”今天傍晚将移入广西 今明天桂南等地局部或现特大暴雨,9月8日 10:15,9,修手机五星级,09-08 11:23,桂林无所畏惧，十万大山，启动,广西,36
台风“塔巴”来了!8-9日广西将迎大雨到暴雨 局地大暴雨或特大暴雨 台风四级预警拉响!,9月7日 19:38,0,,,非百家号页面，跳过评论爬取,,0
"广东68个台风预警信号生效中,琼州海峡航线全线停运",9月7日 11:53,1,气质女神plus,09-07 12:01,台风要来了，大家注意安全少出门。提前防范风雨，保护好自己。,陕西,0
台风“塔巴”要来了,9月7日 10:56,0,,,非百家号页面，跳过评论爬取,,0
台风“塔巴”生成，预计西北方向移动,9月6日 21:30,0,,,非百家号页面，跳过评论爬取,,0
"台风“塔巴”即将生成,广西局地将迎大暴雨或特大暴雨!",9月6日 15:43,0,,,非百家号页面，跳过评论爬取,,0
台风“塔巴”即将生成并直扑广东,9月6日 14:47,0,,,非百家号页面，跳过评论爬取,,0
